rec_id,noise_rec,snr_target_db,fs_target,snr_in_db,snr_out_db,snr_improve_db,rmse,nrmse_std,prd_percent,n_samples_eval
112,bw,0,250.0,-9.60151928633725e-11,3.1928948685399794,3.1928948686359946,0.133933769929977,0.692397126031631,69.23971260351694,7500
112,bw,5,250.0,4.999999999653012,3.3212466057050087,-1.678753393948003,0.131969176463677,0.6822407713602302,68.22407713637168,7500
112,bw,10,250.0,9.999999998859368,3.3485182324446416,-6.651481766414726,0.13155547445315152,0.680102056954811,68.01020569582865,7500
112,bw,15,250.0,14.999999996349642,3.3656048776173404,-11.634395118732302,0.13129693648999313,0.6787654937956127,67.87654937990813,7500
113,bw,0,250.0,-4.2198969936392344e-12,3.1128718115123544,3.112871811516574,0.2955948160154784,0.6988056527800459,69.8805652781679,7500
113,bw,5,250.0,4.999999999943298,3.177679216199558,-1.8223207837437396,0.29339752308475886,0.6936111072819272,69.3611107283548,7500
113,bw,10,250.0,9.999999999777334,3.227061209282842,-6.772938790494491,0.2917341993468298,0.689678900194753,68.96789001963646,7500
113,bw,15,250.0,14.999999999252509,3.2409823614051234,-11.759017637847386,0.29126700214456386,0.6885744151760124,68.85744151776215,7500
114,bw,0,250.0,-3.182680835641087e-10,2.330999891846657,2.330999892164925,0.08663198145495989,0.7646276618226261,76.4627661829297,7500
114,bw,5,250.0,4.999999998950191,2.3764013300124995,-2.6235986689376913,0.08618033458025792,0.760641354595515,76.06413546021511,7500
114,bw,10,250.0,9.999999996636852,2.321648665686062,-7.67835133095079,0.08672529964419146,0.7654513030188598,76.54513030255379,7500
114,bw,15,250.0,14.99999998932143,2.358095556160709,-12.641904433160722,0.08636215375677665,0.7622461195966285,76.22461196032783,7500
115,bw,0,250.0,-2.129427911648189e-11,4.632998736776324,4.632998736797618,0.19011678174813296,0.5866108117616592,58.66108117634483,7500
115,bw,5,250.0,4.999999999889303,4.7103291329200205,-0.28967086696928224,0.1884316861020622,0.581411400558985,58.14114005607582,7500
115,bw,10,250.0,9.999999999606583,4.729076607821762,-5.270923391784821,0.1880254169893875,0.580157845497783,58.015784549955235,7500
115,bw,15,250.0,14.999999998712548,4.770748682077852,-10.229251316634695,0.187125492673643,0.5773811030738434,57.73811030756042,7500
116,bw,0,250.0,7.867947799601143e-12,5.311454109732242,5.311454109724374,0.3238950626107346,0.5425344177265519,54.25344177274502,7500
116,bw,5,250.0,4.99999999998152,5.581663043427337,0.5816630434458174,0.3139741411100144,0.5259165621583959,52.59165621592666,7500
116,bw,10,250.0,9.9999999998982,5.662816314874503,-4.337183685023698,0.31105430581688,0.5210257462013711,52.10257462022337,7500
116,bw,15,250.0,14.999999999634726,5.673492069931726,-9.326507929703,0.3106722263977548,0.5203857511563417,52.03857511572032,7500
117,bw,0,250.0,-6.22642136971257e-11,2.655105177310688,2.6551051773729526,0.16919674561044992,0.7366220945518709,73.66220945550411,7500
117,bw,5,250.0,4.999999999759744,2.701260955284455,-2.298739044475289,0.16830003896036244,0.7327181546244044,73.27181546275578,7500
117,bw,10,250.0,9.99999999919688,2.713524859869802,-7.286475139327079,0.16806257805952554,0.731684334821798,73.16843348249468,7500
117,bw,15,250.0,14.999999997416957,2.7333234767884096,-12.266676520628547,0.16767993248442004,0.7300184328921344,73.00184328952761,7500
118,bw,0,250.0,-1.0848201835004753e-11,4.117031750950578,4.117031750961426,0.2333726920634079,0.6225129816104987,62.25129816121402,7500
118,bw,5,250.0,4.999999999922333,4.156731391345834,-0.8432686085764995,0.23230847507119642,0.6196742223407461,61.967422234238,7500
118,bw,10,250.0,9.999999999711038,4.200997980050848,-5.799002019660191,0.23112755471792687,0.6165241611932378,61.65241611948633,7500
118,bw,15,250.0,14.999999999042856,4.182723097172914,-10.817276901869942,0.2316143529273165,0.6178226773224834,61.782267732411235,7500
119,bw,0,250.0,5.319230305504674e-12,2.1838195219064285,2.183819521901109,0.42222391469172654,0.7776944934602341,77.769449346165,7500
119,bw,5,250.0,4.9999999999734595,2.222066181463199,-2.7779338185102604,0.4203688194326284,0.7742775923382355,77.4277592339645,7500
119,bw,10,250.0,9.999999999872713,2.217837976077206,-7.782162023795507,0.42057350064117544,0.7746545947847171,77.46545947861274,7500
119,bw,15,250.0,14.999999999554127,2.2270382455785134,-12.772961753975615,0.42012825655360364,0.7738344994203815,77.38344994217901,7500
121,bw,0,250.0,-1.9561864822810764e-11,0.6969631740176364,0.6969631740371983,0.3055741448386744,0.9228940398934741,92.2894039896229,7500
121,bw,5,250.0,4.99999999989478,0.7024565636210085,-4.297543436273772,0.30538094561729046,0.9223105402324624,92.23105402352157,7500
121,bw,10,250.0,9.999999999623906,0.7166403328506648,-9.283359666773242,0.3048826756178907,0.9208056667984008,92.08056668011497,7500
121,bw,15,250.0,14.999999998767331,0.7334929880672513,-14.26650701070008,0.30429170549169093,0.9190208207424206,91.90208207451643,7500
122,bw,0,250.0,-1.515054882704512e-11,3.2664887680825583,3.266488768097709,0.2411438631927364,0.6865553592384294,68.65553592403614,7500
122,bw,5,250.0,4.99999999990873,3.264215065175731,-1.7357849347329988,0.24120699561723422,0.6867351021678443,68.67351021697768,7500
122,bw,10,250.0,9.99999999966802,3.16851405543745,-6.83148594423057,0.24387930560185628,0.6943433768184923,69.43433768204463,7500
122,bw,15,250.0,14.999999998906828,3.1435212891387843,-11.856478709768044,0.2445820541224739,0.6963441565880414,69.63441565900011,7500
123,bw,0,250.0,-3.174566019905024e-11,6.838854441355401,6.838854441387146,0.13176260128511724,0.45504807124529634,45.50480712468496,7500
123,bw,5,250.0,4.999999999856254,7.0083864413623775,2.008386441506124,0.12921578198487854,0.4462525162161713,44.625251621769465,7500
123,bw,10,250.0,9.999999999502071,7.132228154056136,-2.867771845445935,0.12738652029729414,0.43993507868367304,43.99350786851748,7500
123,bw,15,250.0,14.99999999838205,7.1922637225520605,-7.807736275829989,0.12650907960718139,0.4369047977862584,43.690479778774986,7500
124,bw,0,250.0,-1.2794214662514582e-11,3.2224719177832526,3.222471917796047,0.2509134287465931,0.6900433964003635,69.00433964022393,7500
124,bw,5,250.0,4.9999999999161835,3.3402056688133874,-1.659794331102796,0.24753534384878706,0.6807532392818099,68.07532392836603,7500
124,bw,10,250.0,9.999999999691587,3.303584891164543,-6.696415108527044,0.24858118641572474,0.6836294375012307,68.36294375030892,7500
124,bw,15,250.0,14.999999998981352,3.294891780670835,-11.705108218310517,0.24883009879444828,0.6843139777591137,68.4313977760974,7500
200,bw,0,250.0,-7.923878792675589e-12,2.63499332230083,2.634993322308754,0.2908978375252135,0.7383296918521352,73.83296918539875,7500
200,bw,5,250.0,4.999999999931582,2.6843232804196853,-2.3156767195118966,0.28925041777858673,0.7341483650872959,73.41483650891377,7500
200,bw,10,250.0,9.99999999974028,2.6882965086709243,-7.311703491069356,0.2891181348272395,0.7338126168688273,73.38126168706684,7500
200,bw,15,250.0,14.999999999135333,2.6615754976506945,-12.338424501484639,0.290008938726148,0.7360735720336272,73.60735720354738,7500
201,bw,0,250.0,-8.999393216208483e-11,4.173693138450536,4.173693138540529,0.12286201235192402,0.6184653074185292,61.84653074216067,7500
201,bw,5,250.0,4.9999999996720526,4.175073562734057,-0.8249264369379956,0.12284248778552943,0.6183670242573935,61.83670242604703,7500
201,bw,10,250.0,9.999999998919579,4.210309810131648,-5.789690188787931,0.12234515929624064,0.6158635619493291,61.586356195239354,7500
201,bw,15,250.0,14.99999999654005,4.243159160401369,-10.75684083613868,0.12188333338810173,0.6135388132594506,61.35388132625033,7500
202,bw,0,250.0,-5.5269464418386785e-11,2.681513150521082,2.6815131505763516,0.1763416697566373,0.7343859211748873,73.43859211779106,7500
